list_entry,review_status,bowl_barrow_identity,single_monument,upstanding_earthwork,geometry_qa,terrain_coverage,terrain_provenance,geographic_group_id,exclusion_reason,evidence_codes,reviewer_notes,review_date,source_access_date,source_last_edit_at,capture_scale,terrain_year,source_resolution_m,survey_program,second_review_required
1007738,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N4,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1008060,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1013707,needs_terrain_review,yes,yes,yes,pass,pass,needs_review,BNG_100KM_E4_N4,terrain_provenance_confounded,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,Terrain provenance requires review: terrain_provenance_confounded.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1016107,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E1_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1008509,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E6_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1011521,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1011833,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N5,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1013563,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E6_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2017,1,National LIDAR Programme,false
1012990,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,true
1015894,uncertain,yes,yes,uncertain,not_reviewed,not_reviewed,not_reviewed,BNG_100KM_E3_N0,insufficient_evidence,identity:explicit_bowl_barrow;monument:single_supported;relief:insufficient_evidence,Surviving upstanding morphology is not explicit enough.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1009105,needs_terrain_review,yes,yes,yes,pass,pass,needs_review,BNG_100KM_E5_N0,terrain_provenance_confounded,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,Terrain provenance requires review: terrain_provenance_confounded.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1020068,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E2_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2021,1,National LIDAR Programme,false
1015592,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1021316,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1016665,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1007396,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1015864,needs_terrain_review,yes,yes,yes,pass,pass,needs_review,BNG_100KM_E3_N5,terrain_provenance_confounded,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,Terrain provenance requires review: terrain_provenance_confounded.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1007877,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2021,1,National LIDAR Programme,false
1012269,rejected,no,uncertain,uncertain,not_reviewed,not_reviewed,not_reviewed,BNG_100KM_E6_N1,not_bowl_barrow,identity:not_explicit,Official entry does not explicitly support bowl-barrow identity.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1017905,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2021,1,National LIDAR Programme,false
1008189,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1008904,needs_terrain_review,yes,yes,yes,pass,pass,needs_review,BNG_100KM_E3_N4,terrain_provenance_confounded,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,Terrain provenance requires review: terrain_provenance_confounded.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,true
1016229,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E2_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1007742,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N4,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1012058,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,true
1012089,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N4,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1016060,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E1_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1008688,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E6_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1014846,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1011975,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N5,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2016,0.5,EA Composite source survey,false
1013585,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E6_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2017,1,National LIDAR Programme,false
1015375,uncertain,yes,yes,uncertain,not_reviewed,not_reviewed,not_reviewed,BNG_100KM_E4_N0,insufficient_evidence,identity:explicit_bowl_barrow;monument:single_supported;relief:insufficient_evidence,Surviving upstanding morphology is not explicit enough.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1003226,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2021,1,National LIDAR Programme,false
1009078,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1010636,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E2_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1016837,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1010557,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1014540,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1007400,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1011517,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N5,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2021,1,National LIDAR Programme,false
1013146,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1012335,needs_terrain_review,yes,yes,yes,pass,pass,needs_review,BNG_100KM_E6_N1,terrain_provenance_confounded,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,Terrain provenance requires review: terrain_provenance_confounded.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1012977,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2021,1,National LIDAR Programme,false
1011719,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1008918,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N4,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1016222,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E2_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2021,1,National LIDAR Programme,false
1009346,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N4,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1008540,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2022,1,National LIDAR Programme,false
1007515,uncertain,yes,yes,uncertain,not_reviewed,not_reviewed,not_reviewed,BNG_100KM_E4_N4,insufficient_evidence,identity:explicit_bowl_barrow;monument:single_supported;relief:insufficient_evidence,Surviving upstanding morphology is not explicit enough.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1017349,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E1_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1008697,uncertain,yes,yes,uncertain,not_reviewed,not_reviewed,not_reviewed,BNG_100KM_E6_N2,insufficient_evidence,identity:explicit_bowl_barrow;monument:single_supported;relief:insufficient_evidence,Surviving upstanding morphology is not explicit enough.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1009801,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1011279,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N5,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1013586,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E6_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2017,1,National LIDAR Programme,false
1014298,uncertain,yes,yes,uncertain,not_reviewed,not_reviewed,not_reviewed,BNG_100KM_E4_N0,insufficient_evidence,identity:explicit_bowl_barrow;monument:single_supported;relief:insufficient_evidence,Surviving upstanding morphology is not explicit enough.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1015370,uncertain,yes,yes,uncertain,not_reviewed,not_reviewed,not_reviewed,BNG_100KM_E3_N0,insufficient_evidence,identity:explicit_bowl_barrow;monument:single_supported;relief:insufficient_evidence,Surviving upstanding morphology is not explicit enough.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1007893,needs_terrain_review,yes,yes,yes,pass,pass,needs_review,BNG_100KM_E5_N0,terrain_provenance_confounded,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,Terrain provenance requires review: terrain_provenance_confounded.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1004476,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E2_N0,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1017076,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E4_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1010561,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
1017084,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1007640,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N3,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2020,1,National LIDAR Programme,false
1014584,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E3_N5,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1008051,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N1,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2019,1,National LIDAR Programme,false
1012143,needs_terrain_review,yes,yes,yes,pass,pass,needs_review,BNG_100KM_E6_N1,terrain_provenance_confounded,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,Terrain provenance requires review: terrain_provenance_confounded.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1012131,rejected,yes,yes,no,not_reviewed,not_reviewed,not_reviewed,BNG_100KM_E4_N1,no_upstanding_relief,identity:explicit_bowl_barrow;monument:single_supported;relief:levelled,Details do not support surviving upstanding relief.,2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false
1018044,accepted,yes,yes,yes,pass,pass,pass,BNG_100KM_E5_N2,,identity:explicit_bowl_barrow;monument:single_supported;relief:upstanding_supported,"Passed full-entry, geometry, coverage, and provenance gates.",2026-08-27,2026-08-27,2026-08-27T05:59:25.097000+00:00,1:10000,2018,1,National LIDAR Programme,false
